subject,version,assignmentId,signed_attributes,signed_weights,strategy,comments,consistency,attention,choice_exp,choice_domain,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,selfknowledge_responses,attention_check,gender,age,race,edu,income,nativeEng,mtvScale,total_time,stamp,id
5fe95c4399e7cf8a9b321bac,ma_choice_v2_pilot2,"",1,2," There was a lot of comprising there were certain things that I wanted that may have been in the option that I didn't choose, it was really just me trying to operate in a domain of gains instead of losses. How much can I gain with house A being like this compared to house B and Vise versa? ",,88,100,4,83,"97,100,100,93,88,84,69,91,69,81","38,100,53,39,61,70,95,76,74,4,30,88,0,46,100,65","50,60,58,55,58,64,57,69,70,70","56,64,30,58,66,84,46,55,88,53,50,24,75,52","58,60,46,67,54,58,50,50,62,31,52,61",I will complete this study with my full attention.,Female,,Black or African American,2 year degree,"Under $5,000",Yes,"I answered by looking at where I am right now in life. I am 20 with no kids and I am single. at the moment Being in an area of a bad school district isn't as important as me being close to the beach, cafes, or the beach. Also being that I would be living alone, I don't need a lot of room. ",1965943,2021-10-24 22:57:18,83
5ec7d9910125920829519d00,ma_choice_v2_pilot2,"",1,2,"I am a teacher so I pay attention to the schools in an area because their rankings reflect not only the environment that my future children will be in, but also my workplace environment. After school climate I also considered the overall climate of the area to be important. It's important to be happy with your surroundings and actually want to enjoy the area that you live in. ",,100,100,1,81,"94,74,89,95,88,74,53,51,26,31","19,72,14,65,46,69,92,5,8,36,10,4,24,3,7,5","6,8,10,37,11,9,16,31,30,37","8,73,11,0,2,31,11,47,5,2,51,61,17,0","58,76,61,56,43,10,27,7,0,2,2,0",I will complete this study with my full attention.,Female,,"Hispanic, Latinx, or Spanish origin",Postgraduate/Professional degree/other,"$50,000 - $65,000",Yes,"The most important factors for me were school rankings, area climate, then natural light and size of the home. ",2008049,2021-10-24 22:57:21,84
545d3e2bfdf99b7f9e3255b4,ma_choice_v2_pilot2,"",1,2,"I had a few parameters that held large priority,  such as house size and central AC, that strongly determined my preferences. ",,75,100,3,33,"100,100,100,100,100,0,19,16,9,22","0,100,0,80,24,89,100,0,0,100,56,19,10,92,100,100","32,32,34,77,19,25,80,29,71,65","49,98,17,5,97,50,13,8,2,98,53,97,5,97","100,100,100,77,0,0,0,3,8,0,10,10",I will complete this study with my full attention,Male,,White,4 year degree,"Under $5,000",Yes,"There were certain factors that appealed to me and others that I quite frankly couldn't care less about. I don't have kids, for example, so the schooling reputation didn't matter much to me. I also don't really care much over whether there's a fireplace or not, for example.",3921458,2021-10-24 22:58:12,85
600dab8134acba5b50136b19,ma_choice_v2_pilot2,"",2,2,I've rented for years and I know my preferences well. Too much noise is very hard to live with. Central AC is a must. Washer/Dryer is an almost daily part of life and very important.  ,,88,100,2,34,"100,91,89,98,91,11,5,14,4,1","48,49,56,25,64,56,44,15,51,50,3,8,2,92,100,92","52,33,32,53,17,33,66,32,33,33","23,50,50,24,76,52,38,50,11,86,76,47,6,50","100,100,100,13,25,49,37,63,48,0,0,1",I will complete this study with my full attention.,Female,,White,Some college,"$25,000 - $35,000",Yes,"First I looked for central AC, then at/for noise pollution, then washer/dryer, then size, then waterfront travel time. ",2158040,2021-10-24 23:16:54,86
5f481f0a4810bc2d025c56f4,ma_choice_v2_pilot2,"",2,2,With central ac and washer and dryer it was an instant yes if a house had one of those.  Climate and noise pollution came into consideration if the ac and washer/dryer were not known.  If the things I really cared about weren't known I considered age of the distance to restaurants and age of the building.,,88,100,2,100,"100,100,100,100,100,55,55,55,68,24","52,53,80,0,82,16,78,51,14,81,10,51,82,88,100,100","33,32,32,68,33,0,65,0,66,68","77,75,51,23,76,77,24,0,0,76,49,50,50,77","50,74,76,24,24,23,24,24,23,21,23,22",I will complete this study with my full attention.,Male,,White,2 year degree,"$35,000 - $50,000",Yes,"I gave most preference to the things I really cared about. I had a descending amount of emphasis on the other things that I tried to put into an order of preference, even though they really didn't matter much to me.",2709225,2021-10-24 23:21:47,87
59290818ff4f900001828b23,ma_choice_v2_pilot2,"",1,1,"I factored in the size of the home, the bedrooms, and the noise in the area. I checked into if the home had laundry because that is a must have for me personally. I also factored in the yard size for my pets. ",,75,87,1,100,"100,100,100,100,100,3,3,14,25,19","25,15,100,10,53,49,51,49,51,23,22,14,3,8,100,4","33,31,32,70,5,6,67,30,32,6","76,76,51,3,52,4,25,79,4,23,77,49,26,24","51,76,74,50,50,23,75,51,23,23,25,24",I will complete this study with my full attention.,Female,,White,4 year degree,"$35,000 - $50,000",Yes,I looked at the features offered and checked on the ones that mattered most to me. I weighed those factors the highest when making my choices on which home to pick. ,3324775,2021-10-24 23:24:23,88
5e604cc7c7c9ca392fc82f8d,ma_choice_v2_pilot2,"",2,1,"When I chose a house to rent those features were pretty important to me: AC, noise level, climate area, hardwood floors and proximity of restaurants and stores.
I did not pick houses that are old or very far from stores and restaurants.",,100,100,1,0,"100,100,100,100,100,49,53,53,50,100","49,45,47,46,43,50,48,46,49,47,49,50,50,50,47,56","31,31,29,32,32,31,31,31,31,29","50,26,50,0,75,74,82,34,24,0,49,0,0,0","75,100,82,75,73,24,74,51,25,73,76,22",I will complete this study with my full attention,Female,,Black or African American,4 year degree,"$65,000 - $80,000",Yes,I answered the questions by comparing the the features of the house B and house A. i favored the one that had the best features.,3617489,2021-10-24 23:30:00,89
5a1e5764074b1900012532c2,ma_choice_v2_pilot2,"",1,2,"I first looked for things I wanted such as; the larger house, a large garage, a large yard and natural light. After that I would weigh how much I wanted these things against other things houses might have that I don't want or care about.",,100,100,2,67,"65,66,69,68,69,50,47,48,28,29","8,49,50,8,47,52,55,50,53,18,49,10,18,31,100,23","31,33,70,32,65,67,15,34,31,34","73,35,67,3,77,74,45,27,8,14,54,49,46,45","76,77,76,52,50,26,22,20,21,27,21,19",I will complete this study with my full attention.,Female,,White,High school,"$65,000 - $80,000",Yes,I decided the importance of factors by thinking about my life how important these factors would be to me if I actually lived in these houses.,5399124,2021-10-24 23:30:52,90
5f21c29511084913913af654,ma_choice_v2_pilot2,"",2,2,"The most important features for me was the age of the building - I preferred the newer ones. I wanted a garage and a yard of any size (I wanted a garage more). The amount of natural light, the state of the environment and as little noise as possible were also important to me. Then I was guided by the size of the building and the number of bedrooms, then the equipment and condition of the house, and finally the quality of the nearest school and the distance from beaches, cafes, etc.",,63,88,3,0,"80,81,69,71,68,14,14,12,15,15","62,50,55,39,52,43,40,48,61,56,49,55,55,68,87,45","58,66,64,50,51,51,63,48,38,55","38,46,57,59,51,51,39,60,58,50,39,53,57,42","60,50,45,53,45,50,71,41,41,40,32,48",I will complete this study with my full attention,Male,,White,High school,"Under $5,000",Yes,"The most important features for me was the age of the building - I preferred the newer ones. I wanted a garage and a yard of any size (I wanted a garage more). The amount of natural light, the state of the environment and as little noise as possible were also important to me. Then I was guided by the size of the building and the number of bedrooms, then the equipment and condition of the house, and finally the quality of the nearest school and the distance from beaches, cafes, etc.",3064782,2021-10-24 23:37:15,91
5daa748f1fee4c0016b1ab7a,ma_choice_v2_pilot2,"",2,2,I made the choices based on the many moves my 3 children and 1 granddaughter have made across the country several times in the last 10 years. We have rented or purchased places without getting all of the info and were stuck in a contract and a crappy home for too long. You would have thought that I learned my lesson but I needed to learn it a couple more times.,,74,75,2,83,"70,87,78,79,80,31,14,14,29,14","28,61,56,69,68,73,71,22,3,94,4,3,5,100,100,100","16,17,22,48,50,34,65,28,67,34","79,91,21,22,97,84,2,50,26,49,81,77,51,89","100,100,70,13,34,60,23,0,21,24,10,13",I will complete this study with my full attention.,Female,,White,Some college,"$25,000 - $35,000",Yes,I chose Larger garages because they can be converted into bedrooms. I chose large yards because they'll have room for additions to be added for bedrooms. Natural light does the same thing. A washer is a must-have for a big family. Living in a bad area just means you have to drive farther to a better school. More time with the kiddos before class. Noise pollution drives down home prices so you get a better deal on the home.,4338604,2021-10-24 23:46:45,92
5fffdb87fd80af15ebaf61e7,ma_choice_v2_pilot2,"",2,2,"I made my choices based on how I would choose a place if I had a family to provide for. So I took into account school ratings, how many bedrooms, etc. As well as if the place would be good for a long term situation not just a there for a bit. ",,99,37,4,100,"64,29,51,37,75,62,57,62,57,74","100,50,100,0,100,28,49,100,67,0,49,100,100,0,0,50","100,66,100,52,33,32,67,32,16,34","73,51,74,75,23,24,76,50,50,50,76,37,50,28","75,76,44,76,75,65,100,59,75,100,23,62",I will complete this study with my full attention,Male,,Asian,Some college,"$5,000 - $10,000",Yes,I wanted to take the better of the two choices of course and choose which option would apply better for the situation I was imagining. The future with a family to provide for and for a longer-term situation. ,5098341,2021-10-25 00:18:53,93
